"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"AMD External Events Utility","System.ServiceProcess.ServiceController[]","False","True","True","AMD External Events Utility","System.ServiceProcess.ServiceController[]",".","AMD External Events Utility","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"AnyDesk","System.ServiceProcess.ServiceController[]","False","True","True","AnyDesk Service","System.ServiceProcess.ServiceController[]",".","AnyDesk","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Appinfo","System.ServiceProcess.ServiceController[]","False","False","True","Application Information","System.ServiceProcess.ServiceController[]",".","Appinfo","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"AtherosSvc","System.ServiceProcess.ServiceController[]","False","False","True","AtherosSvc","System.ServiceProcess.ServiceController[]",".","AtherosSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController[]",".","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Audiosrv","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio","System.ServiceProcess.ServiceController[]",".","Audiosrv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Autodesk Content Service","System.ServiceProcess.ServiceController[]","False","True","True","Autodesk Content Service","System.ServiceProcess.ServiceController[]",".","Autodesk Content Service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
